id,企划,资源类型,系列,名称,别名,年份,格式,大小,网盘路径,分享链接,提取码,有效期,状态,更新时间,排序值
resource-d775954b9dd7,765AS,CD,[04] 本家动画其他,2012.06.23 [SACX-1017~8] THE iDOLM@STER No Make!,,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[04] 本家动画其他/2012.06.23 [SACX-1017~8] THE iDOLM@STER No Make!.rar,,imas,永久,待分享,,560
resource-af73c8626b5e,765AS,CD,[05] THE IDOLM@STER MOVIE,1.劇場版『THE IDOLM@STER MOVIE 輝きの向こう側へ！』主題歌 M@STERPIECE,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[05] THE IDOLM@STER MOVIE/1.劇場版『THE IDOLM@STER MOVIE 輝きの向こう側へ！』主題歌 M@STERPIECE.rar,,imas,永久,待分享,,570
resource-6968c3f8d9a9,765AS,CD,[05] THE IDOLM@STER MOVIE,2.劇場版『THE IDOLM@STER MOVIE 輝きの向こう側へ!』オリジナル・サウンドトラック,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[05] THE IDOLM@STER MOVIE/2.劇場版『THE IDOLM@STER MOVIE 輝きの向こう側へ!』オリジナル・サウンドトラック.rar,,imas,永久,待分享,,580
resource-e91108799f61,765AS,CD,[05] THE IDOLM@STER MOVIE,3.劇場版『THE IDOLM@STER MOVIE 輝きの向こう側へ！』挿入歌 ラムネ色 青春,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[05] THE IDOLM@STER MOVIE/3.劇場版『THE IDOLM@STER MOVIE 輝きの向こう側へ！』挿入歌 ラムネ色 青春.rar,,imas,永久,待分享,,590
resource-5fa73c286a87,765AS,CD,[05] THE IDOLM@STER MOVIE,4.劇場版『THE IDOLM@STER MOVIE 輝きの向こう側へ！』エンディング・テーマ 虹色ミラクル,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[05] THE IDOLM@STER MOVIE/4.劇場版『THE IDOLM@STER MOVIE 輝きの向こう側へ！』エンディング・テーマ 虹色ミラクル.rar,,imas,永久,待分享,,600
resource-9f2fef3ab8ac,765AS,CD,[05] THE IDOLM@STER MOVIE,2013.03.30 [ANXC-0016] 765プロ入社説明CD,,2013,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[05] THE IDOLM@STER MOVIE/2013.03.30 [ANXC-0016] 765プロ入社説明CD.rar,,imas,永久,待分享,,610
resource-5740c4780f70,765AS,CD,[05] THE IDOLM@STER MOVIE,2013.08.04 [TGCS-7730] THE iDOLM@STER SUMMER VAC@TION REMIX!!,,2013,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[05] THE IDOLM@STER MOVIE/2013.08.04 [TGCS-7730] THE iDOLM@STER SUMMER VAC@TION REMIX!!.rar,,imas,永久,待分享,,620
resource-665e31d7bf94,765AS,CD,[05] THE IDOLM@STER MOVIE,2014.03.06 [IMAS-2001] THE iDOLM@STER LAWSON ORIGINAL DRAMA DISK,,2014,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[05] THE IDOLM@STER MOVIE/2014.03.06 [IMAS-2001] THE iDOLM@STER LAWSON ORIGINAL DRAMA DISK.rar,,imas,永久,待分享,,630
resource-8da3d0a1b5d6,765AS,CD,[05] THE IDOLM@STER MOVIE,2014.10.08 [ANZX-11504] THE iDOLM@STER MOVIE 輝きの向こう側へ! 特典CD「PERFECT IDOL THE MOVIE」,,2014,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[05] THE IDOLM@STER MOVIE/2014.10.08 [ANZX-11504] THE iDOLM@STER MOVIE 輝きの向こう側へ! 特典CD「PERFECT IDOL THE MOVIE」.rar,,imas,永久,待分享,,640
resource-f4084e68c919,765AS,CD,[06] THE iDOLM@STER XENOGLOSSIA,[2007.03.21] iDOLM@STER XENOGLOSSIA 春香とやよいの弥生式らじお 恋だもん〜初級編〜 (FLAC),,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[06] THE iDOLM@STER XENOGLOSSIA/[2007.03.21] iDOLM@STER XENOGLOSSIA 春香とやよいの弥生式らじお 恋だもん〜初級編〜 (FLAC).rar,,imas,永久,待分享,,650
resource-00dd9df7ea68,765AS,CD,[06] THE iDOLM@STER XENOGLOSSIA,[2007.04.25] iDOLM@STER XENOGLOSSIA OP1 - 微熱S.O.S!! (FLAC),,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[06] THE iDOLM@STER XENOGLOSSIA/[2007.04.25] iDOLM@STER XENOGLOSSIA OP1 - 微熱S.O.S!! (FLAC).rar,,imas,永久,待分享,,660
resource-c5181eefd6a1,765AS,CD,[06] THE iDOLM@STER XENOGLOSSIA,[2007.05.16] iDOLM@STER XENOGLOSSIA ED - 悠久の旅人～Dear boy (FLAC),,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[06] THE iDOLM@STER XENOGLOSSIA/[2007.05.16] iDOLM@STER XENOGLOSSIA ED - 悠久の旅人～Dear boy (FLAC).rar,,imas,永久,待分享,,670
resource-53a2f898aa6f,765AS,CD,[06] THE iDOLM@STER XENOGLOSSIA,[2007.06.06] iDOLM@STER XENOGLOSSIA Drama CD Vol 1 『週間十六夜寮』 (FLAC),,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[06] THE iDOLM@STER XENOGLOSSIA/[2007.06.06] iDOLM@STER XENOGLOSSIA Drama CD Vol 1 『週間十六夜寮』 (FLAC).rar,,imas,永久,待分享,,680
resource-f29a0fc121ad,765AS,CD,[06] THE iDOLM@STER XENOGLOSSIA,[2007.06.27] iDOLM@STER XENOGLOSSIA Original Soundtrack Vol.1 - IMBER (FLAC),,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[06] THE iDOLM@STER XENOGLOSSIA/[2007.06.27] iDOLM@STER XENOGLOSSIA Original Soundtrack Vol.1 - IMBER (FLAC).rar,,imas,永久,待分享,,690
resource-cdb92a687d15,765AS,CD,[06] THE iDOLM@STER XENOGLOSSIA,[2007.07.11] iDOLM@STER XENOGLOSSIA 春香とやよいの弥生式らじお 特別編～友情だもん~ (FLAC),,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[06] THE iDOLM@STER XENOGLOSSIA/[2007.07.11] iDOLM@STER XENOGLOSSIA 春香とやよいの弥生式らじお 特別編～友情だもん~ (FLAC).rar,,imas,永久,待分享,,700
